,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
7676,Otu007680,101,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,30,Planctomycetes
7691,Otu007695,100,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,17,Planctomycetes
7962,Otu007967,95,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Candidatus_Anammoximicrobium,26,Planctomycetes
7987,Otu007992,95,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,22,Planctomycetes
8035,Otu008040,94,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,29,Planctomycetes
8331,Otu008336,89,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,19,Planctomycetes
8424,Otu008429,87,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,35,Planctomycetes
8547,Otu008552,85,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,15,Planctomycetes
8766,Otu008772,82,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,28,Planctomycetes
8793,Otu008799,82,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetacia_unclassified,Planctomycetacia_unclassified,Planctomycetacia_unclassified,13,Planctomycetes
9105,Otu009111,77,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,13,Planctomycetes
9190,Otu009196,76,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,35,Planctomycetes
